campaign_id,campaign_name,ad_group_id,ad_group_name,Date,banner_group_spend,views,clicks,CTR,average_cpc,DIRECT PPV,DIRECT UNITS,INDIRECT UNITS,units_direct_view,units_indirect_view,CVR,DIRECT REVENUE,INDIRECT REVENUE,revenue_direct_view,revenue_indirect_view,Direct ROI,Indirect ROI
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,17-09-2022,10,200,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,FNNY92RXGAI5,900,24-09-2022,104,189,3,1.5873,34.6667,2,0,0,0,0,0,0,0,0,0,0,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,19-09-2022,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCXT4YX9M4L7,LF-GOCRUSH,686G8YJY0YN2,421,1/9/2022,5.5,35,1,2.8571,5.5,0,0,0,0,0,0,0,0,0,0,0,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,FNNY92RXGAI5,900,25-09-2022,45,20,1,5,45,0,0,0,0,0,0,0,0,0,0,0,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,22-09-2022,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,20-09-2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,21-09-2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,28-08-2022,11200,348946,2240,0.6419,5,1153,9,0,9,0,0.008,8461,0,8255,0,1.4925,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,16-08-2022,18632,284031,4658,1.64,4,2491,22,0,9,0,0.0067,20528,0,8691,0,1.5682,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,29-08-2022,9005,255471,1801,0.705,5,1089,4,0,13,0,0.0094,3866,0,15185,0,2.1156,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,24-08-2022,43252,247897,4534,1.829,9.5395,2069,15,0,5,0,0.0044,14585,0,4195,0,0.4342,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,31-08-2022,7460,245763,1492,0.6071,5,988,6,0,10,0,0.0107,5794,0,10160,0,2.1386,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,23-08-2022,16808,233045,4202,1.8031,4,1749,16,0,4,0,0.0048,13594,0,4096,0,1.0525,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,22-08-2022,16995.2,225843,4075,1.8044,4.1706,1574,16,0,3,0,0.0047,14484,0,2697,0,1.0109,0
VCXT4YX9M4L7,LF-GOCRUSH,VCPC8NHZ5JPD,410,28-08-2022,13384,204353,1673,0.8187,8,777,5,0,2,0,0.0042,5995,0,2498,0,0.6346,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,31-08-2022,12315.2,183059,1867,1.0199,6.5963,1015,13,0,11,0,0.0129,10498,0,9789,0,1.6473,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,30-08-2022,6180,176779,1236,0.6992,5,773,7,0,20,0,0.0218,6693,0,19503,0,4.2388,0
W2LQUBQ1GHUK,LF-GOBUDS,4WGJOGGBFV99,920,19-08-2022,41476,176274,3144,1.7836,13.1921,1186,7,0,9,0,0.0051,10553,0,8491,0,0.4592,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,27-08-2022,13855,167396,1883,1.1249,7.3579,1530,11,0,12,0,0.0122,10149,0,13179,0,1.6837,0
VCXT4YX9M4L7,LF-GOCRUSH,686G8YJY0YN2,421,27-08-2022,6083,160978,1106,0.6871,5.5,678,1,0,6,0,0.0063,1299,0,9834,0,1.8302,0
J5ERP57TK6C4,LF-GOKIXX,5GM5Z28YRLM8,GOKIXX-799,16-08-2022,13105.6,159528,1422,0.8914,9.2163,674,6,0,6,0,0.0084,5594,0,5594,0,0.8537,0
W2LQUBQ1GHUK,LF-GOBUDS,4WGJOGGBFV99,920,16-08-2022,12024.8,157008,2730,1.7388,4.4047,1290,14,0,9,0,0.0084,23469,0,8091,0,2.6246,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,20-08-2022,32467.7,151002,2471,1.6364,13.1395,1097,7,0,1,0,0.0032,6693,0,899,0,0.2338,0
J5ERP57TK6C4,LF-GOKIXX,5GM5Z28YRLM8,GOKIXX-799,21-08-2022,13057.5,147771,1329,0.8994,9.8251,540,4,0,4,0,0.006,3296,0,3396,0,0.5125,0
W2LQUBQ1GHUK,LF-GOBUDS,4WGJOGGBFV99,920,7/8/2022,8992,143828,2248,1.563,4,1168,8,0,7,0,0.0067,8292,0,6043,0,1.5942,0
VCXT4YX9M4L7,LF-GOCRUSH,686G8YJY0YN2,421,26-08-2022,7920,143062,1440,1.0066,5.5,796,6,0,8,0,0.0097,11858,0,13956,0,3.2593,0
J5ERP57TK6C4,LF-GOKIXX,B3K04C8U0705,GOKIXX-999,28-08-2022,12688.2,130426,981,0.7522,12.9339,517,5,0,9,0,0.0143,4135,0,7391,0,0.9084,0
VCXT4YX9M4L7,LF-GOCRUSH,686G8YJY0YN2,421,31-08-2022,5406.5,130114,983,0.7555,5.5,553,6,0,4,0,0.0102,7394,0,6853,0,2.6352,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,29-08-2022,9280,120479,1321,1.0965,7.025,882,10,0,5,0,0.0114,8144,0,4295,0,1.3404,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,26-08-2022,13461,119532,2442,2.043,5.5123,1858,11,0,8,0,0.0078,10365,0,8583,0,1.4076,0
J5ERP57TK6C4,LF-GOKIXX,B3K04C8U0705,GOKIXX-999,16-08-2022,6395.2,115611,959,0.8295,6.6686,377,2,0,4,0,0.0063,1598,0,7996,0,1.5002,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,19-08-2022,24325.8,115264,2074,1.7993,11.7289,981,11,0,10,0,0.0101,10680,0,8990,0,0.8086,0
W2LQUBQ1GHUK,LF-GOBUDS,60IRAJUORSKN,600 -621,20-08-2022,18645.6,110358,1680,1.5223,11.0986,481,0,0,2,0,0.0012,0,0,1998,0,0.1072,0
J5ERP57TK6C4,LF-GOKIXX,5GM5Z28YRLM8,GOKIXX-799,31-08-2022,5375,108907,1075,0.9871,5,594,2,0,5,0,0.0065,1598,0,4268,0,1.0913,0
VCXT4YX9M4L7,LF-GOCRUSH,686G8YJY0YN2,421,28-08-2022,4350.5,107515,791,0.7357,5.5,400,0,0,1,0,0.0013,0,0,1199,0,0.2756,0
VCXT4YX9M4L7,LF-GOCRUSH,VCPC8NHZ5JPD,410,19-08-2022,10991.2,96221,949,0.9863,11.5819,369,1,0,0,0,0.0011,1299,0,0,0,0.1182,0
VCXT4YX9M4L7,LF-GOCRUSH,VCPC8NHZ5JPD,410,31-08-2022,6720,94025,840,0.8934,8,412,2,0,1,0,0.0036,2462,0,899,0,0.5001,0
VCXT4YX9M4L7,LF-GOCRUSH,VCPC8NHZ5JPD,410,7/8/2022,5071,93296,922,0.9883,5.5,443,4,0,3,0,0.0076,5196,0,6297,0,2.2664,0
W2LQUBQ1GHUK,LF-GOBUDS,4WGJOGGBFV99,920,22-08-2022,10690.8,92430,1751,1.8944,6.1055,616,1,0,9,0,0.0057,999,0,6491,0,0.7006,0
J5ERP57TK6C4,LF-GOKIXX,B3K04C8U0705,GOKIXX-999,30-08-2022,8266.2,92250,685,0.7425,12.0674,391,6,0,1,0,0.0102,5294,0,999,0,0.7613,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,6/8/2022,6952,87779,1325,1.5095,5.2468,728,11,0,4,0,0.0113,9009,0,7796,0,2.4173,0
VCXT4YX9M4L7,LF-GOCRUSH,VCPC8NHZ5JPD,410,20-08-2022,8686.15,87467,748,0.8552,11.6125,337,1,0,2,0,0.004,1199,0,2098,0,0.3796,0
W2LQUBQ1GHUK,LF-GOBUDS,4WGJOGGBFV99,920,20-08-2022,11542.4,86793,1408,1.6223,8.1977,563,3,0,8,0,0.0078,5997,0,7492,0,1.1686,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,30-08-2022,7432,84760,894,1.0547,8.3132,491,7,0,4,0,0.0123,5793,0,3596,0,1.2633,0
VCXT4YX9M4L7,LF-GOCRUSH,VCPC8NHZ5JPD,410,21-08-2022,10216.8,84633,882,1.0421,11.5837,418,0,0,0,0,0,0,0,0,0,0,0
