Date,Currency,Campaign Name,Attribution type,Purchased ASIN,14 Day Total Sales,14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand
"Jul 1, 2022",INR,Gocrush_SB_ASIN_Trgt,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.0.0,0,0,0.00%,0.00%,0.00%
"Jul 1, 2022",INR,Gocrush_900_SBV_Video,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.2965.25,1,1,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass610_SBV_Video,Promoted,B09P35224S,Rs.6766.08,16,16,Rs.6766.08,16,16,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobuds600_SBV_Video,Promoted,B09P33L9ZR,Rs.8130.48,7,7,Rs.8130.48,6,6,100.00%,85.70%,85.70%
"Jul 1, 2022",INR,Gobuds902_SBV_Video,Promoted,B09V196GQR,Rs.3896.62,2,2,Rs.3896.62,2,2,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass610_SBV_UnboxingVideo,Promoted,B09P35224S,Rs.845.76,2,2,Rs.845.76,2,2,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,GOSURROUND_SB,Promoted,B09YV3VFWD,Rs.11862.72,2,2,Rs.11862.72,2,2,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gocrush_900_SBV_UnboxingVideo,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.2965.25,1,1,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass 900_SBv_Video,Promoted,B09P3GQ9TQ,Rs.338.14,2,2,Rs.338.14,1,1,100.00%,50.00%,50.00%
"Jul 1, 2022",INR,Gobuds920_SBV_Video,Promoted,B09P36YZN7,Rs.2287.29,1,1,Rs.2287.29,1,1,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass410_SBV_UnboxingVideo,Promoted,B09P348V1P,Rs.761.01,2,2,Rs.761.01,2,2,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass400_SBv_Video,Promoted,B09P35Y9Q8,Rs.4436.4,15,15,Rs.4436.4,15,15,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,GOSURROUND_SB,Promoted,B09YV5LC7F,Rs.20336.43,3,3,Rs.20336.43,3,3,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,SB_Product_Targeting,Promoted,B09P36YZN7,Rs.2287.29,1,1,Rs.2287.29,1,1,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gocrush_900_SBV_Video2,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.0.0,0,0,0,0.00%,0.00%
"Jul 1, 2022",INR,Gobuds920_SBV_UnboxingVideo,Promoted,B09P36YZN7,Rs.4235.6,2,2,Rs.4235.6,2,2,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass900_SBV_UnboxingVideo,Promoted,B09P3GQ9TQ,Rs.338.14,1,1,Rs.338.14,1,1,100.00%,100.00%,100.00%
"Jul 1, 2022",INR,Gobass900_SBV_Video2,Brand Halo,B09P348V1P,Rs.380.51,1,1,Rs.380.51,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobuds600_SBV_UnboxingVideo,Promoted,B09P33L9ZR,Rs.2794.91,3,3,Rs.2794.91,2,2,100.00%,66.70%,66.70%
"Jul 2, 2022",INR,Gobass410_SBv_Video,Brand Halo,B09P35Y9Q8,Rs.295.76,1,1,Rs.295.76,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobass400_SBv_Video,Brand Halo,B09P3GQ9TQ,Rs.465.25,1,1,Rs.465.25,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobass610_SBV_UnboxingVideo,Promoted,B09P35224S,Rs.845.76,2,2,Rs.845.76,2,2,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,SB_Brand_Keyword,Promoted,B09P36YZN7,Rs.4574.57,2,2,Rs.2287.28,1,1,50.00%,50.00%,50.00%
"Jul 2, 2022",INR,Gobuds_SB_Brand,Promoted,B09P33L9ZR,Rs.1355.08,1,1,Rs.0.0,0,0,0.00%,0.00%,0.00%
"Jul 2, 2022",INR,GOSURROUND_SB,Promoted,B09YV463PY,Rs.5083.9,1,1,Rs.5083.9,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobuds920_SBV_Video,Promoted,B09P36YZN7,Rs.6861.87,3,3,Rs.6861.87,3,3,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobass410_SBv_Video,Promoted,B09P348V1P,Rs.676.28,2,2,Rs.338.14,1,1,50.00%,50.00%,50.00%
"Jul 2, 2022",INR,GOSURROUND_SB,Promoted,B09YV3VFWD,Rs.11862.72,2,2,Rs.11862.72,2,2,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,SB_Gen_Keyword,Promoted,B09P3FZD31,Rs.1185.59,1,1,Rs.1185.59,1,1,1,100.00%,100.00%
"Jul 2, 2022",INR,Gobass410_SBV_UnboxingVideo,Promoted,B09P348V1P,Rs.1014.42,4,4,Rs.1014.42,3,3,100.00%,75.00%,75.00%
"Jul 2, 2022",INR,Gobass900_SBV_Video2,Promoted,B09P3GQ9TQ,Rs.676.28,2,2,Rs.676.28,2,2,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobass 900_SBv_Video,Promoted,B09P3GQ9TQ,Rs.338.14,2,2,Rs.338.14,1,1,100.00%,50.00%,50.00%
"Jul 2, 2022",INR,Gobass900_SBV_UnboxingVideo,Brand Halo,B09P348V1P,Rs.338.14,1,1,Rs.338.14,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobass400_SBv_Video,Brand Halo,B09P31MBGH,Rs.465.25,1,1,Rs.465.25,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gocrush_900_SBV_UnboxingVideo,Brand Halo,B09RSG2V4W,Rs.2372.03,1,1,Rs.2372.03,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobuds920_SBV_UnboxingVideo,Promoted,B09P36YZN7,Rs.4574.58,2,2,Rs.4574.58,2,2,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobass900_SBV_UnboxingVideo,Promoted,B09P3GQ9TQ,Rs.338.14,1,1,Rs.338.14,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobass400_SBv_Video,Brand Halo,B09P35224S,Rs.422.88,1,1,Rs.422.88,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gokixx900_SBV_video,Promoted,B09P32HN32,Rs.1355.08,2,2,Rs.1355.08,1,1,1,50.00%,50.00%
"Jul 2, 2022",INR,Gobass400_SBv_Video,Promoted,B09P35Y9Q8,Rs.2957.6,10,10,Rs.2957.6,10,10,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobuds600_SBV_Video,Promoted,B09P33L9ZR,Rs.6860.15,6,6,Rs.6860.15,5,5,100.00%,83.30%,83.30%
"Jul 2, 2022",INR,SB_Gen_Keyword,Promoted,B09P3GQ9TQ,Rs.338.14,1,1,Rs.338.14,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobass610_SBV_Video,Brand Halo,B09P385YZC,Rs.1100.85,1,1,Rs.1100.85,1,1,100.00%,100.00%,100.00%
"Jul 2, 2022",INR,Gobass610_SBV_Video,Promoted,B09P35224S,Rs.3383.04,9,9,Rs.2960.16,8,8,87.50%,88.90%,88.90%
"Jul 3, 2022",INR,SB_Brand_Keyword,Promoted,B09P33L9ZR,Rs.1439.83,1,1,Rs.1439.83,1,1,100.00%,100.00%,100.00%
"Jul 3, 2022",INR,SB_Gen_Keyword,Promoted,B09P3GQ9TQ,Rs.338.14,1,1,Rs.338.14,1,1,100.00%,100.00%,100.00%
"Jul 3, 2022",INR,SB_Gen_Keyword,Promoted,B09P33L9ZR,Rs.1439.83,1,1,Rs.1439.83,1,1,100.00%,100.00%,100.00%
"Jul 3, 2022",INR,GOSURROUND_SB,Brand Halo,B09PRQGKH8,Rs.1439.83,1,1,Rs.1439.83,1,1,100.00%,100.00%,100.00%
"Jul 3, 2022",INR,GOSURROUND_SB,Promoted,B09YV5LC7F,Rs.6778.81,1,1,Rs.6778.81,1,1,100.00%,100.00%,100.00%
"Jul 3, 2022",INR,GOSURROUND_SB,Promoted,B09YV463PY,Rs.5083.9,1,1,Rs.5083.9,1,1,100.00%,100.00%,100.00%
"Jul 3, 2022",INR,GOSURROUND_SB,Promoted,B09YV2XRY7,Rs.7626.27,1,1,Rs.7626.27,1,1,100.00%,100.00%,100.00%
"Jul 3, 2022",INR,Gobuds920_SBV_Video,Promoted,B09P36YZN7,Rs.2287.29,1,1,Rs.2287.29,1,1,100.00%,100.00%,100.00%
"Jul 4, 2022",INR,GOSURROUND_SB,Promoted,B09YV2XRY7,Rs.7626.27,1,1,Rs.7626.27,1,1,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gobass400_SBv_Video,Promoted,B09P35Y9Q8,Rs.1183.04,4,4,Rs.1183.04,4,4,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gocrush_900_SBV_Video,Promoted,B09PRQ8S8G,Rs.5930.51,2,2,Rs.5930.51,2,2,1,100.00%,100.00%
"Jul 5, 2022",INR,Gobuds600_SBV_Video,Promoted,B09P33L9ZR,Rs.13635.55,13,13,Rs.13635.55,10,10,100.00%,76.90%,76.90%
"Jul 5, 2022",INR,Gocrush_900_SBV_Video2,Promoted,B09PRQ8S8G,Rs.5930.5,2,2,Rs.5930.5,2,2,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gobuds920_SBV_Video,Promoted,B09P36YZN7,Rs.14824.6,8,8,Rs.12706.8,6,6,85.70%,75.00%,75.00%
"Jul 5, 2022",INR,SB_Brand_Keyword,Promoted,B09P36YZN7,Rs.2117.8,1,1,Rs.2117.8,1,1,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,GOSURROUND_SB,Promoted,B09YV2XRY7,Rs.7626.27,1,1,Rs.7626.27,1,1,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gobass900_SBV_UnboxingVideo,Promoted,B09P3GQ9TQ,Rs.465.25,1,1,Rs.465.25,1,1,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gobass410_SBV_UnboxingVideo,Promoted,B09P348V1P,Rs.1014.42,4,4,Rs.1014.42,3,3,100.00%,75.00%,75.00%
"Jul 5, 2022",INR,Gokixx410_SBv_UnboxingVideo,Promoted,B09P2Z8KWN,Rs.1016.1,1,1,Rs.1016.1,1,1,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gobass610_SBV_Video,Promoted,B09P35224S,Rs.11840.64,27,28,Rs.11417.76,26,27,96.40%,96.30%,96.40%
"Jul 5, 2022",INR,Gobass610_SBV_UnboxingVideo,Promoted,B09P35224S,Rs.845.76,2,2,Rs.845.76,2,2,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gokixx620_SBV_video2,Promoted,B09P33VQVG,Rs.1016.1,1,1,Rs.1016.1,1,1,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,SB_Brand_Keyword,Brand Halo,B09P35Y9Q8,Rs.295.76,1,1,Rs.295.76,1,1,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gobass610_SBV_Video,Brand Halo,B09P31MBGH,Rs.465.25,1,1,Rs.465.25,1,1,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gobass610_SBV_Video,Brand Halo,B09P35Y9Q8,Rs.1183.04,3,4,Rs.1183.04,3,4,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gobuds920_SBV_UnboxingVideo,Promoted,B09P36YZN7,Rs.6353.4,3,3,Rs.6353.4,3,3,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gobuds902_SBV_Video,Promoted,B09V196GQR,Rs.1948.31,1,1,Rs.1948.31,1,1,100.00%,100.00%,100.00%
"Jul 5, 2022",INR,Gobass900_SBV_Video2,Promoted,B09P3GQ9TQ,Rs.465.25,1,1,Rs.465.25,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobass400_SBv_Video,Promoted,B09P35Y9Q8,Rs.3844.88,13,13,Rs.3844.88,13,13,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gocrush_900_SBV_Video,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.2965.25,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobass610_SBV_Video,Brand Halo,B09P348V1P,Rs.676.28,2,2,Rs.338.14,1,1,50.00%,50.00%,50.00%
"Jul 6, 2022",INR,Gobass400_SBv_Video,Brand Halo,B09P35224S,Rs.422.88,1,1,Rs.422.88,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,GOSURROUND_SB,Promoted,B09YV5LC7F,Rs.6778.81,1,1,Rs.6778.81,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobuds920_SBV_Video,Promoted,B09P36YZN7,Rs.8471.2,4,4,Rs.8471.2,4,4,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,SB_Brand_Keyword,Promoted,B09P36YZN7,Rs.2117.8,1,1,Rs.2117.8,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobass610_SBV_Video,Brand Halo,B09P31MBGH,Rs.465.25,1,1,Rs.465.25,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,GOSURROUND_SB,Promoted,B09YV2XRY7,Rs.15252.54,2,2,Rs.15252.54,2,2,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobuds600_SBV_Video,Promoted,B09P33L9ZR,Rs.10925.39,8,8,Rs.10925.39,8,8,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,GOSURROUND_SB,Promoted,B09YV3VFWD,Rs.5931.36,1,1,Rs.5931.36,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobuds920_SBV_UnboxingVideo,Promoted,B09P36YZN7,Rs.6353.4,3,3,Rs.6353.4,3,3,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobass610_SBV_Video,Promoted,B09P35224S,Rs.5497.44,14,14,Rs.5497.44,13,13,100.00%,92.90%,92.90%
"Jul 6, 2022",INR,Gobass900_SBV_UnboxingVideo,Promoted,B09P3GQ9TQ,Rs.930.5,2,2,Rs.930.5,2,2,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobass610_SBV_Video,Brand Halo,B09P35Y9Q8,Rs.591.52,2,2,Rs.591.52,2,2,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,GOSURROUND_SB,Promoted,B09YV463PY,Rs.5083.9,1,1,Rs.5083.9,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobass610_SBV_UnboxingVideo,Promoted,B09P35224S,Rs.2960.16,8,8,Rs.2537.28,6,6,85.70%,75.00%,75.00%
"Jul 6, 2022",INR,Gocrush_900_SBV_UnboxingVideo,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.2965.25,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobass410_SBv_Video,Promoted,B09P348V1P,Rs.380.51,1,1,Rs.380.51,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gocrush_SB_Brand,Promoted,B09PRQGKH8,Rs.1312.71,1,1,Rs.1312.71,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobass410_SBV_UnboxingVideo,Brand Halo,B09P3GQ9TQ,Rs.465.26,1,1,Rs.465.26,1,1,100.00%,100.00%,100.00%
"Jul 6, 2022",INR,Gobass410_SBV_UnboxingVideo,Promoted,B09P348V1P,Rs.1056.79,3,3,Rs.1056.79,3,3,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,Gobuds600_SBV_Video,Promoted,B09P33L9ZR,Rs.4065.24,3,3,Rs.4065.24,3,3,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,Gocrush_900_SBV_UnboxingVideo,Promoted,B09PRQ8S8G,Rs.5930.5,3,3,Rs.5930.5,2,2,100.00%,66.70%,66.70%
"Jul 7, 2022",INR,Gobass410_SBv_Video,Promoted,B09P348V1P,Rs.338.14,1,1,Rs.0.0,0,0,0.00%,0.00%,0.00%
"Jul 7, 2022",INR,Gobass400_SBv_Video,Promoted,B09P35Y9Q8,Rs.2661.84,9,9,Rs.2661.84,9,9,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,Gobuds_SB_Brand,Promoted,B09P37YKMS,Rs.1016.1,1,1,Rs.1016.1,1,1,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,GOSURROUND_SB,Promoted,B09YV463PY,Rs.5083.9,1,1,Rs.5083.9,1,1,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,Gobass900_SBV_Video2,Promoted,B09P3GQ9TQ,Rs.465.25,1,1,Rs.465.25,1,1,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,GOSURROUND_SB,Promoted,B09YV2XRY7,Rs.30505.09,4,4,Rs.30505.09,4,4,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,Gobuds920_SBV_Video,Promoted,B09P36YZN7,Rs.6353.4,3,3,Rs.6353.4,3,3,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,Gocrush_900_SBV_Video,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.2965.25,1,1,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,Gobass410_SBV_UnboxingVideo,Promoted,B09P348V1P,Rs.718.64,2,2,Rs.718.64,2,2,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,GOSURROUND_SB,Promoted,B09YV5LC7F,Rs.13557.62,2,2,Rs.13557.62,2,2,100.00%,100.00%,100.00%
"Jul 7, 2022",INR,Gobass610_SBV_Video,Promoted,B09P35224S,Rs.8880.48,21,21,Rs.8457.6,20,20,95.20%,95.20%,95.20%
"Jul 7, 2022",INR,Gobass610_SBV_UnboxingVideo,Promoted,B09P35224S,Rs.1691.52,4,4,Rs.1691.52,4,4,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,Gocrush_410_SBV_Video,Promoted,B09PRQGKH8,Rs.2625.42,2,2,Rs.2625.42,2,2,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,Gocrush_900_SBV_Video2,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.2965.25,1,1,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,Gobass410_SBV_UnboxingVideo,Promoted,B09P348V1P,Rs.3043.26,10,10,Rs.3043.26,9,9,100.00%,90.00%,90.00%
"Jul 8, 2022",INR,Gobass900_SBV_Video2,Promoted,B09P3GQ9TQ,Rs.930.5,2,2,Rs.930.5,2,2,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,Gobass610_SBV_Video,Brand Halo,B09P35Y9Q8,Rs.295.76,1,1,Rs.295.76,1,1,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,GOSURROUND_SB,Promoted,B09YV3YQVB,Rs.10166.94,3,3,Rs.10166.94,3,3,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,Gobuds902_SBV_Video,Promoted,B09V196GQR,Rs.1948.31,1,1,Rs.1948.31,1,1,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,GOSURROUND_SB,Promoted,B09YV2XRY7,Rs.15252.55,2,2,Rs.7626.28,1,1,50.00%,50.00%,50.00%
"Jul 8, 2022",INR,Gobass610_SBV_UnboxingVideo,Promoted,B09P35224S,Rs.422.88,1,1,Rs.422.88,1,1,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,GOSURROUND_SB,Promoted,B09YV463PY,Rs.5083.9,1,1,Rs.5083.9,1,1,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,Gobuds920_SBV_Video,Brand Halo,B09V196GQR,Rs.1948.31,2,2,Rs.1948.31,1,1,100.00%,50.00%,50.00%
"Jul 8, 2022",INR,Gocrush_900_SBV_UnboxingVideo,Promoted,B09PRQ8S8G,Rs.2965.25,2,2,Rs.2965.25,1,1,100.00%,50.00%,50.00%
"Jul 8, 2022",INR,Gobuds920_SBV_Video,Promoted,B09P36YZN7,Rs.8471.2,3,4,Rs.6353.4,2,3,75.00%,66.70%,75.00%
"Jul 8, 2022",INR,Gocrush_421_SBV_Video,Promoted,B09PRQ8MNW,Rs.1312.71,1,1,Rs.1312.71,1,1,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,Gobass610_SBV_Video,Promoted,B09P35224S,Rs.6766.08,18,18,Rs.6766.08,16,16,100.00%,88.90%,88.90%
"Jul 8, 2022",INR,Gobuds920_SBV_UnboxingVideo,Promoted,B09P36YZN7,Rs.4235.6,2,2,Rs.4235.6,2,2,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,Gobuds600_SBV_Video,Promoted,B09P33L9ZR,Rs.10840.64,8,8,Rs.10840.64,8,8,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,Gobass610_SBV_Video,Brand Halo,B09P3GQ9TQ,Rs.465.26,2,2,Rs.465.26,1,1,100.00%,50.00%,50.00%
"Jul 8, 2022",INR,SB_Brand_Keyword,Promoted,B09P36YZN7,Rs.2117.8,1,1,Rs.2117.8,1,1,100.00%,100.00%,100.00%
"Jul 8, 2022",INR,Gobass400_SBv_Video,Promoted,B09P35Y9Q8,Rs.3549.12,12,13,Rs.3253.36,10,11,91.70%,83.30%,84.60%
"Jul 9, 2022",INR,Gobuds920_SBV_UnboxingVideo,Promoted,B09P36YZN7,Rs.8640.69,4,4,Rs.6353.4,3,3,73.50%,75.00%,75.00%
"Jul 9, 2022",INR,Gobass410_SBv_Video,Promoted,B09P348V1P,Rs.718.65,2,2,Rs.718.65,2,2,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gobuds920_SBV_Video,Brand Halo,B09P33L9ZR,Rs.1355.08,1,1,Rs.1355.08,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gobuds600_SBV_UnboxingVideo,Promoted,B09P33L9ZR,Rs.2710.16,3,3,Rs.2710.16,2,2,100.00%,66.70%,66.70%
"Jul 9, 2022",INR,GOSURROUND_SB,Promoted,B09YV2XRY7,Rs.30505.09,4,4,Rs.30505.09,4,4,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,SB_Gen_Keyword,Promoted,B09P37YKMS,Rs.1016.1,1,1,Rs.1016.1,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gobuds920_SBV_Video,Promoted,B09P36YZN7,Rs.10589.0,5,5,Rs.10589.0,5,5,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,GOSURROUND_SB,Promoted,B09YV5LC7F,Rs.20336.43,3,3,Rs.20336.43,3,3,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gobass400_SBv_Video,Promoted,B09P35Y9Q8,Rs.2366.08,8,8,Rs.2366.08,8,8,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gocrush_900_SBV_Video,Promoted,B09PRQ8S8G,Rs.5930.5,2,2,Rs.5930.5,2,2,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gobass610_SBV_Video,Promoted,B09P35224S,Rs.7146.59,18,18,Rs.5877.95,14,14,82.20%,77.80%,77.80%
"Jul 9, 2022",INR,Gobuds600_SBV_Video,Promoted,B09P33L9ZR,Rs.10925.39,9,9,Rs.10925.39,8,8,100.00%,88.90%,88.90%
"Jul 9, 2022",INR,Gobass610_SBV_Video,Brand Halo,B09P35Y9Q8,Rs.295.76,1,1,Rs.295.76,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,SB_Brand_Keyword,Promoted,B09P33L9ZR,Rs.1355.08,1,1,Rs.1355.08,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,GOSURROUND_SB,Promoted,B09YV3VFWD,Rs.5931.36,1,1,Rs.5931.36,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gobuds600_SBV_Video,Brand Halo,B09P37YKMS,Rs.1016.1,1,1,Rs.1016.1,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gocrush_900_SBV_UnboxingVideo,Promoted,B09PRQ8S8G,Rs.2965.25,1,1,Rs.2965.25,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gokixx410_SBv_video,Promoted,B09P2Z8KWN,Rs.931.36,1,1,Rs.931.36,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gobass 900_SBv_Video,Promoted,B09P3GQ9TQ,Rs.465.25,1,1,Rs.465.25,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gokixx410_SBv_UnboxingVideo,Promoted,B09P2Z8KWN,Rs.931.36,1,1,Rs.931.36,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gobass410_SBV_UnboxingVideo,Promoted,B09P348V1P,Rs.1775.44,5,5,Rs.1437.3,4,4,0.81,80.00%,80.00%
"Jul 9, 2022",INR,Gobass410_SBV_UnboxingVideo,Brand Halo,B09P31MBGH,Rs.465.25,1,1,Rs.465.25,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gobass610_SBV_UnboxingVideo,Promoted,B09P35224S,Rs.845.76,2,2,Rs.845.76,2,2,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gobass400_SBv_Video,Brand Halo,B09P35224S,Rs.380.51,1,1,Rs.380.51,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gokixx421_SBV_video2,Promoted,B09P385YZC,Rs.846.61,1,1,Rs.846.61,1,1,100.00%,100.00%,100.00%
"Jul 9, 2022",INR,Gocrush_410_SBV_Video,Promoted,B09PRQGKH8,Rs.2625.42,1,2,Rs.2625.42,1,2,100.00%,100.00%,100.00%
"Jul 10, 2022",INR,Gobuds920_SBV_Video,Promoted,B09P36YZN7,Rs.6353.4,3,3,Rs.4235.6,2,2,66.70%,66.70%,66.70%
"Jul 10, 2022",INR,Gobass410_SBV_UnboxingVideo,Promoted,B09P348V1P,Rs.1352.56,4,4,Rs.1352.56,4,4,100.00%,100.00%,100.00%
"Jul 10, 2022",INR,Gobuds_SB_Brand,Promoted,B09P37YKMS,Rs.1016.1,1,1,Rs.0.0,0,0,0.00%,0.00%,0.00%
"Jul 10, 2022",INR,GOSURROUND_SB,Promoted,B09YV3YQVB,Rs.3388.98,1,1,Rs.3388.98,1,1,100.00%,100.00%,100.00%
"Jul 10, 2022",INR,Gobuds902_SBV_Video,Promoted,B09V196GQR,Rs.3896.62,2,2,Rs.1948.31,1,1,50.00%,50.00%,50.00%
"Jul 10, 2022",INR,GOSURROUND_SB,Promoted,B09YV3VFWD,Rs.17794.08,3,3,Rs.17794.08,3,3,100.00%,100.00%,100.00%
"Jul 10, 2022",INR,GOSURROUND_SB,Promoted,B09YV2XRY7,Rs.7626.27,1,1,Rs.7626.27,1,1,100.00%,100.00%,100.00%
"Jul 10, 2022",INR,Gobass410_SBV_UnboxingVideo,Brand Halo,B09P35224S,Rs.422.88,1,1,Rs.422.88,1,1,100.00%,100.00%,100.00%
"Jul 10, 2022",INR,Gocrush_410_SBV_Video,Promoted,B09PRQGKH8,Rs.1439.83,2,2,Rs.1439.83,1,1,100.00%,50.00%,50.00%
"Jul 10, 2022",INR,Gobass900_SBV_UnboxingVideo,Promoted,B09P3GQ9TQ,Rs.1861.0,4,4,Rs.1861.0,4,4,100.00%,100.00%,100.00%
"Jul 10, 2022",INR,Gobuds600_SBV_UnboxingVideo,Promoted,B09P33L9ZR,Rs.1355.08,1,1,Rs.1355.08,1,1,100.00%,100.00%,100.00%
